source_parent_role_id,target_esco_code,target_esco_title,premerge_masco_code,masco_code,sparsity_action,total_examples,train_examples,val_examples,test_examples,premerge_masco_title,model_masco_title,model_masco_code_printed,crosswalk_method,crosswalk_authority,review_status
R01,2512.1,cloud engineer,251245,251201,merged_to_six_digit_curated_anchor,1,0,1,0,Computer Systems Engineer,Software Developer,2512-01,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R01,2512.4,software developer,251201,251201,retained_granular_class,7,7,0,0,Software Developer,Software Developer,2512-01,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R01,2512.5,user interface developer,251206,251201,merged_to_six_digit_curated_anchor,6,4,2,0,Application Developer (.Net),Software Developer,2512-01,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.10,ICT consultant,252416,252416,retained_granular_class,5,4,1,0,Business Data Analyst,Business Data Analyst,2524-16,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.12,ICT research consultant,252403,252403,retained_granular_class,1,1,0,0,Data Analyst,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.13,ICT system analyst,252403,252403,retained_granular_class,2,2,0,0,Data Analyst,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.15,ICT system developer,252418,252403,merged_to_six_digit_curated_anchor,1,0,1,0,Extract Transform Load Developer,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.16,ICT system integration consultant,252418,252403,merged_to_six_digit_curated_anchor,3,1,1,1,Extract Transform Load Developer,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.19,user experience analyst,252403,252403,retained_granular_class,1,1,0,0,Data Analyst,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.2,computer vision engineer,252411,252403,merged_to_six_digit_curated_anchor,1,1,0,0,Machine Learning Engineer,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.3,data analyst,252403,252403,retained_granular_class,2,2,0,0,Data Analyst,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.4,data scientist,252401,252403,merged_to_six_digit_curated_anchor,1,1,0,0,Data Scientist,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.6,enterprise architect,252406,252403,merged_to_six_digit_curated_anchor,2,2,0,0,Data Architect,Data Analyst,2524-03,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R02,2511.9,ICT business analyst,252416,252416,retained_granular_class,1,1,0,0,Business Data Analyst,Business Data Analyst,2524-16,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R03,2423.1,career guidance advisor,242309,242323,merged_to_six_digit_curated_anchor,1,1,0,0,Career Adviser,Human Resource Officer,2423-23,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R03,2423.2,employment and vocational integration consultant,242307,242323,merged_to_six_digit_curated_anchor,2,1,0,1,Employment Counselor,Human Resource Officer,2423-23,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R03,2423.3,human resources officer,242323,242323,retained_granular_class,3,3,0,0,Human Resource Officer,Human Resource Officer,2423-23,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R03,2423.4,labour relations officer,242310,242323,merged_to_six_digit_curated_anchor,2,1,0,1,Labour Management Relations Conciliator,Human Resource Officer,2423-23,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
R03,2423.5,occupational analyst,242305,242323,merged_to_six_digit_curated_anchor,1,1,0,0,Occupational Analyst,Human Resource Officer,2423-23,curated semantic ESCO-title to MASCO 2020 granular title,project crosswalk; not an official ESCO-to-MASCO publication,pending domain-owner review
